Run,air_temperature_regimen,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collected_by,Collection_Date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),growth_facility,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,organism_common_name,Organism,plant_developmental_stage,plant_growth_medium,plant_structure,Platform,ploidy,ReleaseDate,Sample Name,sample_name,sample_storage_temperature,sampling_time_point,SRA Study,Submitter_Id,subspecific_genetic_lineage_rank
ERR6004312,18-25 ?C,RNA-Seq,51,442185912,PRJEB45523,SAMEA8902056,170196532,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644872,SAMEA8902056,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,15days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902056,GC078091,-80?C,"0,5",ERP129642,GC078091,Canadian wonder
ERR6004315,18-25 ?C,RNA-Seq,51,228720822,PRJEB45523,SAMEA8902059,88333677,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644875,SAMEA8902059,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,20days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902059,GC078094,-80?C,"0,5",ERP129642,GC078094,Rosecoco
ERR6004317,18-25 ?C,RNA-Seq,51,321952341,PRJEB45523,SAMEA8902061,124042537,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644877,SAMEA8902061,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902061,GC078096,-80?C,"0,5",ERP129642,GC078096,Rosecoco
ERR6004318,18-25 ?C,RNA-Seq,51,386543331,PRJEB45523,SAMEA8902062,146842778,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644878,SAMEA8902062,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,20days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902062,GC078097,-80?C,"0,5",ERP129642,GC078097,Rosecoco
ERR6004319,18-25 ?C,RNA-Seq,51,213736308,PRJEB45523,SAMEA8902063,83714773,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644879,SAMEA8902063,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902063,GC078098,-80?C,"0,5",ERP129642,GC078098,Canadian wonder
ERR6004321,18-25 ?C,RNA-Seq,51,293970273,PRJEB45523,SAMEA8902065,112860778,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644881,SAMEA8902065,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,15days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902065,GC078100,-80?C,"0,5",ERP129642,GC078100,Canadian wonder
ERR6004324,18-25 ?C,RNA-Seq,51,302983503,PRJEB45523,SAMEA8902068,118327764,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644884,SAMEA8902068,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902068,GC078103,-80?C,"0,5",ERP129642,GC078103,Canadian wonder
ERR6004326,18-25 ?C,RNA-Seq,51,184508361,PRJEB45523,SAMEA8902070,71598794,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644886,SAMEA8902070,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,15days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902070,GC078105,-80?C,"0,5",ERP129642,GC078105,Rosecoco
ERR6004329,18-25 ?C,RNA-Seq,51,254465928,PRJEB45523,SAMEA8902073,99915280,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644889,SAMEA8902073,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,15days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902073,GC078108,-80?C,"0,5",ERP129642,GC078108,Rosecoco
ERR6004331,18-25 ?C,RNA-Seq,51,527835567,PRJEB45523,SAMEA8902075,200540145,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644891,SAMEA8902075,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,20days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902075,GC078110,-80?C,"0,5",ERP129642,GC078110,Pinto
ERR6004333,18-25 ?C,RNA-Seq,51,246080712,PRJEB45523,SAMEA8902077,95524592,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644893,SAMEA8902077,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,35days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902077,GC078112,-80?C,"0,5",ERP129642,GC078112,Pinto
ERR6004334,18-25 ?C,RNA-Seq,51,216123567,PRJEB45523,SAMEA8902078,83206321,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644894,SAMEA8902078,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,35days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902078,GC078113,-80?C,"0,5",ERP129642,GC078113,Rosecoco
ERR6004335,18-25 ?C,RNA-Seq,51,209215515,PRJEB45523,SAMEA8902079,80222617,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644895,SAMEA8902079,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,35days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902079,GC078114,-80?C,"0,5",ERP129642,GC078114,Rosecoco
ERR6004337,18-25 ?C,RNA-Seq,51,309571122,PRJEB45523,SAMEA8902081,124229909,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644897,SAMEA8902081,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,35days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902081,GC078116,-80?C,"0,5",ERP129642,GC078116,Canadian wonder
ERR6004338,18-25 ?C,RNA-Seq,51,281391735,PRJEB45523,SAMEA8902082,108576526,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644898,SAMEA8902082,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902082,GC078117,-80?C,"0,5",ERP129642,GC078117,Rosecoco
ERR6004340,18-25 ?C,RNA-Seq,51,275382354,PRJEB45523,SAMEA8902084,106257617,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644900,SAMEA8902084,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,15days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902084,GC078119,-80?C,"0,5",ERP129642,GC078119,Rosecoco
ERR6004342,18-25 ?C,RNA-Seq,51,314396130,PRJEB45523,SAMEA8902086,126760316,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644902,SAMEA8902086,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,20days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902086,GC078121,-80?C,"0,5",ERP129642,GC078121,Canadian wonder
ERR6004345,18-25 ?C,RNA-Seq,51,359824278,PRJEB45523,SAMEA8902089,138058512,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644905,SAMEA8902089,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,15days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902089,GC078124,-80?C,"0,5",ERP129642,GC078124,Pinto
ERR6004347,18-25 ?C,RNA-Seq,51,285692667,PRJEB45523,SAMEA8902091,112444916,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644907,SAMEA8902091,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,35days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902091,GC078126,-80?C,"0,5",ERP129642,GC078126,Pinto
ERR6004348,18-25 ?C,RNA-Seq,51,226922511,PRJEB45523,SAMEA8902092,87745887,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644908,SAMEA8902092,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,35days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902092,GC078127,-80?C,"0,5",ERP129642,GC078127,Rosecoco
ERR6004350,18-25 ?C,RNA-Seq,51,519032355,PRJEB45523,SAMEA8902094,201322433,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644910,SAMEA8902094,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902094,GC078129,-80?C,"0,5",ERP129642,GC078129,Rosecoco
ERR6004352,18-25 ?C,RNA-Seq,51,281297283,PRJEB45523,SAMEA8902096,109348421,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644912,SAMEA8902096,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering different kit,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902096,GC078131,-80?C,"0,5",ERP129642,GC078131,Rosecoco
